OP_CARRIER,q1_num,q2_num,q3_num,q4_num,Total_delay,Total_flight
AA,27219,27158,40002,35900,130279,725984
AS,5561,4892,6319,5580,22352,172521
B6,17391,12057,15345,14382,59175,267048
DL,31003,31778,30574,14382,118023,875881
EV,32125,30834,23956,22269,109184,571977
F9,6775,6522,5187,5086,23570,90836
HA,2702,1620,2946,1350,8618,76272
MQ,25100,15907,11327,8213,60547,294632
NK,7217,10388,8915,7701,34221,117379
OO,29358,25871,26518,26048,107795,588353
UA,25680,32042,26406,20594,104722,515723
US,25680,32042,26406,20594,104722,198715
VX,2546,3000,2986,3246,11778,61903
WN,54970,67951,61320,52385,236626,1261855
